60;30
'62';0.1100;0.1100
'6221';0.0390;0.0390
'6213, 628';0.1300;0.1300
'8711, 8713, 8718, 8721, 8723, 8728, 8731, 8733, 8738, 8741, 8743, 8748';5.0000;5.0000
'8716, 8726, 8736, 8746';5.0000;5.0000
'87176, 87276, 87376, 87476';0.8782;0.8782
'870, 8715, 8725, 8735, 8745';5.0000;5.0000
'800';0.0001;0.0001
'881, 882';3.9900;3.9900
'98';0.1000;0.1000
'9821';0.0900;0.0900
'989';0.1370;0.1370
'964';0.0980;0.0980
'9641';0.0900;0.0900
'9647';0.1600;0.1600
'353';0.0111;0.0111
'3531';0.0100;0.0100
'35308, 3538';0.2000;0.2000
'35382, 35386';0.1450;0.1450
'35387, 35388';0.1388;0.1388
'8816, 8817';3.0000;3.0000
'972';0.0170;0.0170
'9723';0.0160;0.0160
'97251, 97253, 97255, 97256, 97257, 97258, 9726';0.0660;0.0660
'97252';0.0660;0.0660
'97254';0.0660;0.0660
'97250';0.0660;0.0660
'39';0.0105;0.0105
'3902';0.0105;0.0105
'3906';0.0105;0.0105
'393';0.1900;0.1900
'3939';0.1900;0.1900
'39340, 39341, 39343, 39346, 39347, 39348, 39349';0.1900;0.1900
'39330, 39333, 39334, 39335, 39336, 39337, 39338, 39339, 39360, 39368';0.1900;0.1900
'39320, 39322, 39323, 39328, 39329, 39380, 39383, 39387, 39388, 39389';0.1900;0.1900
399;0.0109;0.0109
398;0.0109;0.0109
'225';0.1600;0.1600
'22503, 22505, 22506, 22507, 22508, 22509';0.1400;0.1400
'1876';0.1700;0.1700
'187621, 18763, 18764, 187653, 187654, 1876567, 187657, 1876621, 187670, 187677, 187678, 187679, 18768, 1876909, 1876919, 1876990, 1876995, 1876997, 1876999';0.1700;0.1700
'81';0.0200;0.0200
'8166';0.0200;0.0200
'813';0.0300;0.0300
'8170, 8180, 8190';0.1300;0.1300
'962';0.0920;0.0920
'9626';0.1000;0.1000
'9627';0.1300;0.1300
'731, 732, 7330, 7336, 7573, 7574';0.1400;0.1400
'73272';0.1400;0.1400
'73172';0.1400;0.1400
'73212';0.1400;0.1400
'73162';0.1400;0.1400
'73152';0.1400;0.1400
'732139';0.1400;0.1400
'7300, 731290, 731291, 731390, 731391, 731490, 731491, 731590, 731591, 731790, 731791, 731890, 731891, 732190, 732191, 732390, 732391, 732490, 732590, 732591, 732690, 732691, 732758, 732790, 732791, 732799, 7333, 7570, 7571, 7700, 7701, 7702, 7705, 7707, 7777';0.1200;0.1200
'254';0.1400;0.1400
'25420';0.1600;0.1600
'2547';0.2126;0.2126
'686';0.4618;0.4618
'850';0.4300;0.4300
'82';0.0280;0.0280
'822';0.0280;0.0280
'821';0.0400;0.0400
'965';0.0900;0.0900
'9656, 9657, 9659';0.0650;0.0650
'996';0.0850;0.0850
'9963, 9965';0.0880;0.0880
'856';0.0550;0.0550
'371';0.0600;0.0600
'3712, 37155, 37158, 37159, 3716, 3718, 3719';0.1400;0.1400
'961';0.1499;0.1499
'9613';0.1621;0.1621
'266';0.2400;0.2400
'231';0.1900;0.1900
'23128, 23133, 23138, 23139, 23140, 23141, 23150, 23151, 23155, 23164, 23165, 2317';0.2000;0.2000
'218';0.1800;0.1800
'21821';0.1800;0.1800
'21891, 21892';0.2000;0.2000
'423';0.0380;0.0380
'4235, 4236, 4237';0.4300;0.4300
'42379';0.3100;0.3100
'42378';0.3100;0.3100
'42376';0.3300;0.3300
'370';0.0550;0.0550
'370521, 370523, 370524, 370525, 370526, 370527';0.0550;0.0550
'3706';0.1460;0.1460
'352';0.0145;0.0145
'352021, 352028, 352029, 352061, 352068, 352091, 352098, 35221, 35228, 35261, 352621, 352628, 352661, 352668, 35268, 352691, 352698, 35291, 35298';0.1818;0.1818
'853';0.0800;0.0800
'389';0.0800;0.0800
'3892';0.0800;0.0800
'38951';0.2000;0.2000
'38975';0.2000;0.2000
'38970, 38971';0.2000;0.2000
'261';0.1890;0.1890
'265';0.0450;0.0450
'60';0.0180;0.0180
'603';0.0170;0.0170
'601, 6050, 6051';0.0310;0.0310
'960';0.1800;0.1800
'223';0.2000;0.2000
'22330, 22331, 22332, 22333, 22334, 22350, 22351, 22352, 22353, 22354, 2236, 22390, 22391, 22392, 22393, 22394';0.2200;0.2200
'356';0.0932;0.0932
'3567, 3569';0.2600;0.2600
'692';0.2600;0.2600
'596';0.3000;0.3000
'222';0.2200;0.2200
'230';0.1400;0.1400
'52';0.0850;0.0850
'5255';0.0170;0.0170
'521, 5220, 5290, 5291, 5292, 5293, 5294, 5295, 5296';0.2200;0.2200
'680, 691';0.3000;0.3000
'373';0.1400;0.1400
'3736, 3737, 3739';0.2000;0.2000
'377';0.0230;0.0230
3776;0.1600;0.1600
'3774';0.1950;0.1950
'976';0.1300;0.1300
'3818, 382';0.0944;0.0944
'38167, 38169, 3826';0.2100;0.2100
'1664';0.1254;0.1254
'212';0.1300;0.1300
'21222';0.1420;0.1420
'2121, 2126, 2127, 21292';0.2189;0.2189
'21212, 21214, 21260, 21263, 21264, 21265, 21269, 21274, 21275, 21279';0.1900;0.1900
'258';0.1000;0.1000
'25882';0.2000;0.2000
'25884';0.2000;0.2000
'95';0.2514;0.2514
'264';0.1600;0.1600
'26481';0.1999;0.1999
'674';1.0000;1.0000
'977';0.2500;0.2500
'31';0.0111;0.0111
'3120';0.0111;0.0111
'3110';0.0111;0.0111
'316';0.1900;0.1900
'31610, 31612, 31613, 31620, 31622, 31623, 31630, 31651, 31653, 31656, 31657, 31658, 31659, 31665';0.1600;0.1600
'31616, 31617, 31619, 31626, 31633, 31644, 31645, 31647, 31649';0.1700;0.1700
'31618, 31628, 31638, 31639, 31648';0.1700;0.1700
'31614, 31624, 31641, 31642, 31643';0.1900;0.1900
'31611, 31615, 31621, 31625, 31627, 31629, 31646, 31650, 31652, 31654, 31655';0.1600;0.1600
'3166, 3167, 3168, 3169, 318, 319';0.0111;0.0111
'599';0.1665;0.1665
'687';0.2000;0.2000
'64';0.0200;0.0200
'649';0.0200;0.0200
'644';0.0200;0.0200
'642, 648';0.2400;0.2400
'505';0.2000;0.2000
'50577, 5058, 5059';0.2100;0.2100
'227';0.0966;0.0966
'2279';0.0966;0.0966
'234';0.0900;0.0900
'2341';0.0900;0.0900
'23413, 23480, 23490';0.1350;0.1350
'234805';0.1350;0.1350
'234803';0.1500;0.1500
'683';0.7000;0.7000
'6723';1.0000;1.0000
'1670, 1671';1.0000;1.0000
'47';0.1300;0.1300
'4721, 4722, 4723, 4724';0.0111;0.0111
'474, 475900, 475901, 475902, 47599, 479';0.1400;0.1400
'47406, 47407, 47452, 47453, 47454, 47455, 4792, 4793, 4798';0.1440;0.1440
'47412, 47413, 474724, 474725, 47426, 474727, 474728, 474729, 47473';0.1800;0.1800
'4702, 4703, 4704, 4705, 4706, 4707, 4708, 4709';0.1400;0.1400
'968';0.1300;0.1300
'690, 6993, 6998';1.0000;1.0000
'92';0.1450;0.1450
'9221';0.1100;0.1100
'9242';0.0700;0.0700
'923';0.1100;0.1100
'970, 97222, 97242, 97282, 97292';0.2200;0.2200
'9705, 9706, 97259';0.2200;0.2200
'507';0.1041;0.1041
'5072';0.0360;0.0360
'50750, 50751, 50752, 50758, 50759, 5076';0.0900;0.0900
'675';0.6300;0.6300
'595';0.0830;0.0830
'59521';0.0700;0.0700
'5959';0.1350;0.1350
'51';0.2300;0.2300
'511';0.0300;0.0300
